route_id,route_short_name_sched,route_long_name_sched,route_type,n_trips,route_short_name_delay,route_long_name_delay,n_events,avg_delay_min,share_over_5min,share_on_time_or_early,impact_score,route_short_name,route_long_name,norm_impact,norm_trips,norm_share_over_5,priority_score
17301_900,12,,900,904,,,0.0,0.0,0.0,0.0,0.0,12,,0.0,0.29048843187660667,0.0,0.087146529562982
17379_700,283,,700,902,,,0.0,0.0,0.0,0.0,0.0,283,,0.0,0.2898457583547558,0.0,0.08695372750642673
17356_700,222,,700,892,,,0.0,0.0,0.0,0.0,0.0,222,,0.0,0.2866323907455013,0.0,0.08598971722365038
17352_900,21,,900,891,,,0.0,0.0,0.0,0.0,0.0,21,,0.0,0.28631105398457585,0.0,0.08589331619537276
17306_700,125,,700,887,,,0.0,0.0,0.0,0.0,0.0,125,,0.0,0.28502570694087404,0.0,0.08550771208226221
17304_700,123,,700,884,,,0.0,0.0,0.0,0.0,0.0,123,,0.0,0.28406169665809766,0.0,0.08521850899742929
18374_700,169,,700,884,,,0.0,0.0,0.0,0.0,0.0,169,,0.0,0.28406169665809766,0.0,0.08521850899742929
17537_700,X76,,700,884,,,0.0,0.0,0.0,0.0,0.0,X76,,0.0,0.28406169665809766,0.0,0.08521850899742929
17422_900,68,,900,883,,,0.0,0.0,0.0,0.0,0.0,68,,0.0,0.2837403598971722,0.0,0.08512210796915166
17311_700,134,,700,880,,,0.0,0.0,0.0,0.0,0.0,134,,0.0,0.2827763496143959,0.0,0.08483290488431877
17364_700,248,,700,878,,,0.0,0.0,0.0,0.0,0.0,248,,0.0,0.28213367609254497,0.0,0.08464010282776349
17368_700,256,,700,869,,,0.0,0.0,0.0,0.0,0.0,256,,0.0,0.27924164524421596,0.0,0.08377249357326479
10149_109,S3,,109,866,,,0.0,0.0,0.0,0.0,0.0,S3,,0.0,0.2782776349614396,0.0,0.08348329048843188
17333_700,170,,700,853,,,0.0,0.0,0.0,0.0,0.0,170,,0.0,0.2741002570694087,0.0,0.08223007712082261
17322_700,156,,700,846,,,0.0,0.0,0.0,0.0,0.0,156,,0.0,0.2718508997429306,0.0,0.08155526992287918
17378_700,282,,700,834,,,0.0,0.0,0.0,0.0,0.0,282,,0.0,0.2679948586118252,0.0,0.08039845758354756
17349_700,197,,700,830,,,0.0,0.0,0.0,0.0,0.0,197,,0.0,0.2667095115681234,0.0,0.08001285347043702
17518_400,U5,,400,828,,,0.0,0.0,0.0,0.0,0.0,U5,,0.0,0.2660668380462725,0.0,0.07982005141388175
17535_700,X54,,700,824,,,0.0,0.0,0.0,0.0,0.0,X54,,0.0,0.2647814910025707,0.0,0.0794344473007712
17512_400,U1,,400,821,,,0.0,0.0,0.0,0.0,0.0,U1,,0.0,0.26381748071979433,0.0,0.0791452442159383
17359_700,237,,700,818,,,0.0,0.0,0.0,0.0,0.0,237,,0.0,0.262853470437018,0.0,0.0788560411311054
17365_700,249,,700,809,,,0.0,0.0,0.0,0.0,0.0,249,,0.0,0.25996143958868895,0.0,0.07798843187660669
21284_700,300,,700,800,,,0.0,0.0,0.0,0.0,0.0,300,,0.0,0.2570694087403599,0.0,0.07712082262210797
17529_700,X10,,700,800,,,0.0,0.0,0.0,0.0,0.0,X10,,0.0,0.2570694087403599,0.0,0.07712082262210797
17377_700,277,,700,794,,,0.0,0.0,0.0,0.0,0.0,277,,0.0,0.2551413881748072,0.0,0.07654241645244216
17420_900,63,,900,791,,,0.0,0.0,0.0,0.0,0.0,63,,0.0,0.2541773778920309,0.0,0.07625321336760926
10148_109,S3,,109,791,,,0.0,0.0,0.0,0.0,0.0,S3,,0.0,0.2541773778920309,0.0,0.07625321336760926
17362_700,246,,700,788,,,0.0,0.0,0.0,0.0,0.0,246,,0.0,0.2532133676092545,0.0,0.07596401028277634
17381_700,285,,700,770,,,0.0,0.0,0.0,0.0,0.0,285,,0.0,0.2474293059125964,0.0,0.07422879177377892
17330_700,165,,700,767,,,0.0,0.0,0.0,0.0,0.0,165,,0.0,0.24646529562982006,0.0,0.07393958868894601
17307_700,128,,700,767,,,0.0,0.0,0.0,0.0,0.0,128,,0.0,0.24646529562982006,0.0,0.07393958868894601
10157_109,S5,,109,766,,,0.0,0.0,0.0,0.0,0.0,S5,,0.0,0.2461439588688946,0.0,0.07384318766066837
17316_700,140,,700,760,,,0.0,0.0,0.0,0.0,0.0,140,,0.0,0.2442159383033419,0.0,0.07326478149100257
17591_700,M6,,700,760,,,0.0,0.0,0.0,0.0,0.0,M6,,0.0,0.2442159383033419,0.0,0.07326478149100257
17374_900,27,,900,725,,,0.0,0.0,0.0,0.0,0.0,27,,0.0,0.23296915167095117,0.0,0.06989074550128535
1548_700,694,,700,725,,,0.0,0.0,0.0,0.0,0.0,694,,0.0,0.23296915167095117,0.0,0.06989074550128535
17419_900,62,,900,718,,,0.0,0.0,0.0,0.0,0.0,62,,0.0,0.230719794344473,0.0,0.0692159383033419
17334_700,171,,700,711,,,0.0,0.0,0.0,0.0,0.0,171,,0.0,0.22847043701799485,0.0,0.06854113110539846
4281_700,861,,700,711,,,0.0,0.0,0.0,0.0,0.0,861,,0.0,0.22847043701799485,0.0,0.06854113110539846
17305_700,124,,700,708,,,0.0,0.0,0.0,0.0,0.0,124,,0.0,0.2275064267352185,0.0,0.06825192802056555
17299_700,115,,700,708,,,0.0,0.0,0.0,0.0,0.0,115,,0.0,0.2275064267352185,0.0,0.06825192802056555
4287_700,862,,700,688,,,0.0,0.0,0.0,0.0,0.0,862,,0.0,0.2210796915167095,0.0,0.06632390745501285
17363_700,247,,700,686,,,0.0,0.0,0.0,0.0,0.0,247,,0.0,0.22043701799485863,0.0,0.06613110539845758
17327_700,162,,700,686,,,0.0,0.0,0.0,0.0,0.0,162,,0.0,0.22043701799485863,0.0,0.06613110539845758
17300_700,118,,700,684,,,0.0,0.0,0.0,0.0,0.0,118,,0.0,0.21979434447300772,0.0,0.06593830334190232
17530_700,X11,,700,683,,,0.0,0.0,0.0,0.0,0.0,X11,,0.0,0.21947300771208225,0.0,0.06584190231362468
17317_700,142,,700,676,,,0.0,0.0,0.0,0.0,0.0,142,,0.0,0.21722365038560412,0.0,0.06516709511568124
17310_700,133,,700,673,,,0.0,0.0,0.0,0.0,0.0,133,,0.0,0.21625964010282778,0.0,0.06487789203084833
17297_700,112,,700,673,,,0.0,0.0,0.0,0.0,0.0,112,,0.0,0.21625964010282778,0.0,0.06487789203084833
24759_700,X36,,700,672,,,0.0,0.0,0.0,0.0,0.0,X36,,0.0,0.2159383033419023,0.0,0.06478149100257069
17296_700,110,,700,672,,,0.0,0.0,0.0,0.0,0.0,110,,0.0,0.2159383033419023,0.0,0.06478149100257069
17372_700,265,,700,668,,,0.0,0.0,0.0,0.0,0.0,265,,0.0,0.21465295629820053,0.0,0.06439588688946016
17315_700,139,,700,667,,,0.0,0.0,0.0,0.0,0.0,139,,0.0,0.21433161953727506,0.0,0.06429948586118252
17400_700,350,,700,664,,,0.0,0.0,0.0,0.0,0.0,350,,0.0,0.2133676092544987,0.0,0.06401028277634961
22390_700,X71,,700,662,,,0.0,0.0,0.0,0.0,0.0,X71,,0.0,0.2127249357326478,0.0,0.06381748071979435
17384_700,296,,700,656,,,0.0,0.0,0.0,0.0,0.0,296,,0.0,0.21079691516709512,0.0,0.06323907455012853
10143_109,S2,,109,643,,,0.0,0.0,0.0,0.0,0.0,S2,,0.0,0.20661953727506427,0.0,0.06198586118251928
17323_700,158,,700,639,,,0.0,0.0,0.0,0.0,0.0,158,,0.0,0.20533419023136246,0.0,0.061600257069408734
17321_700,155,,700,635,,,0.0,0.0,0.0,0.0,0.0,155,,0.0,0.20404884318766067,0.0,0.0612146529562982
17417_900,60,,900,629,,,0.0,0.0,0.0,0.0,0.0,60,,0.0,0.20212082262210798,0.0,0.06063624678663239
17350_700,200,,700,628,,,0.0,0.0,0.0,0.0,0.0,200,,0.0,0.20179948586118251,0.0,0.06053984575835475
17326_700,161,,700,620,,,0.0,0.0,0.0,0.0,0.0,161,,0.0,0.19922879177377892,0.0,0.05976863753213367
17309_700,131,,700,620,,,0.0,0.0,0.0,0.0,0.0,131,,0.0,0.19922879177377892,0.0,0.05976863753213367
10165_109,S75,,109,616,,,0.0,0.0,0.0,0.0,0.0,S75,,0.0,0.19794344473007713,0.0,0.05938303341902314
17293_700,107,,700,613,,,0.0,0.0,0.0,0.0,0.0,107,,0.0,0.19697943444730076,0.0,0.059093830334190224
17527_700,X7,,700,612,,,0.0,0.0,0.0,0.0,0.0,X7,,0.0,0.19665809768637532,0.0,0.05899742930591259
17324_900,16,,900,604,,,0.0,0.0,0.0,0.0,0.0,16,,0.0,0.19408740359897173,0.0,0.05822622107969151
17373_700,269,,700,603,,,0.0,0.0,0.0,0.0,0.0,269,,0.0,0.19376606683804629,0.0,0.058129820051413886
17328_700,163,,700,602,,,0.0,0.0,0.0,0.0,0.0,163,,0.0,0.19344473007712082,0.0,0.058033419023136246
17290_700,101,,700,596,,,0.0,0.0,0.0,0.0,0.0,101,,0.0,0.19151670951156813,0.0,0.05745501285347043
17409_700,377,,700,594,,,0.0,0.0,0.0,0.0,0.0,377,,0.0,0.19087403598971722,0.0,0.05726221079691517
10371_700,S9,,700,592,,,0.0,0.0,0.0,0.0,0.0,S9,,0.0,0.19023136246786632,0.0,0.057069408740359893
17380_700,284,,700,589,,,0.0,0.0,0.0,0.0,0.0,284,,0.0,0.18926735218508997,0.0,0.05678020565552699
17318_700,147,,700,587,,,0.0,0.0,0.0,0.0,0.0,147,,0.0,0.18862467866323906,0.0,0.056587403598971714
17401_700,353,,700,585,,,0.0,0.0,0.0,0.0,0.0,353,,0.0,0.1879820051413882,0.0,0.056394601542416455
17337_700,179,,700,584,,,0.0,0.0,0.0,0.0,0.0,179,,0.0,0.18766066838046272,0.0,0.056298200514138814
17999_900,M6,,900,583,,,0.0,0.0,0.0,0.0,0.0,M6,,0.0,0.18733933161953728,0.0,0.05620179948586118
17294_700,108,,700,578,,,0.0,0.0,0.0,0.0,0.0,108,,0.0,0.18573264781491003,0.0,0.05571979434447301
24053_100,RE7,,100,576,,,0.0,0.0,0.0,0.0,0.0,RE7,,0.0,0.18508997429305912,0.0,0.055526992287917736
10229_109,S47,,109,572,,,0.0,0.0,0.0,0.0,0.0,S47,,0.0,0.18380462724935734,0.0,0.0551413881748072
17354_700,220,,700,570,,,0.0,0.0,0.0,0.0,0.0,220,,0.0,0.18316195372750643,0.0,0.05494858611825193
17369_700,259,,700,566,,,0.0,0.0,0.0,0.0,0.0,259,,0.0,0.18187660668380462,0.0,0.05456298200514138
18920_700,620,,700,565,,,0.0,0.0,0.0,0.0,0.0,620,,0.0,0.18155526992287918,0.0,0.05446658097686375
10141_109,S1,,109,563,,,0.0,0.0,0.0,0.0,0.0,S1,,0.0,0.18091259640102827,0.0,0.054273778920308484
17345_700,191,,700,560,,,0.0,0.0,0.0,0.0,0.0,191,,0.0,0.17994858611825193,0.0,0.05398457583547558
23414_700,143,,700,552,,,0.0,0.0,0.0,0.0,0.0,143,,0.0,0.17737789203084833,0.0,0.0532133676092545
17343_700,188,,700,551,,,0.0,0.0,0.0,0.0,0.0,188,,0.0,0.17705655526992287,0.0,0.05311696658097686
17320_700,154,,700,548,,,0.0,0.0,0.0,0.0,0.0,154,,0.0,0.17609254498714652,0.0,0.05282776349614395
10236_700,S46,,700,547,,,0.0,0.0,0.0,0.0,0.0,S46,,0.0,0.17577120822622108,0.0,0.052731362467866326
23154_700,X37,,700,544,,,0.0,0.0,0.0,0.0,0.0,X37,,0.0,0.17480719794344474,0.0,0.05244215938303342
17385_700,309,,700,542,,,0.0,0.0,0.0,0.0,0.0,309,,0.0,0.17416452442159383,0.0,0.052249357326478146
10158_109,S5,,109,540,,,0.0,0.0,0.0,0.0,0.0,S5,,0.0,0.17352185089974292,0.0,0.05205655526992287
17280_700,21,,700,533,,,0.0,0.0,0.0,0.0,0.0,21,,0.0,0.1712724935732648,0.0,0.051381748071979434
17338_900,18,,900,526,,,0.0,0.0,0.0,0.0,0.0,18,,0.0,0.16902313624678664,0.0,0.05070694087403599
17421_900,67,,900,520,,,0.0,0.0,0.0,0.0,0.0,67,,0.0,0.16709511568123395,0.0,0.05012853470437018
27353_700,R,,700,518,,,0.0,0.0,0.0,0.0,0.0,R,,0.0,0.16645244215938304,0.0,0.04993573264781491
17414_700,398,,700,516,,,0.0,0.0,0.0,0.0,0.0,398,,0.0,0.16580976863753213,0.0,0.049742930591259636
17346_700,192,,700,515,,,0.0,0.0,0.0,0.0,0.0,192,,0.0,0.1654884318766067,0.0,0.04964652956298201
1556_900,92,,900,515,,,0.0,0.0,0.0,0.0,0.0,92,,0.0,0.1654884318766067,0.0,0.04964652956298201
17312_700,135,,700,511,,,0.0,0.0,0.0,0.0,0.0,135,,0.0,0.16420308483290488,0.0,0.049260925449871464
10272_700,S7,,700,499,,,0.0,0.0,0.0,0.0,0.0,S7,,0.0,0.16034704370179947,0.0,0.04810411311053984
10163_109,S7,,109,494,,,0.0,0.0,0.0,0.0,0.0,S7,,0.0,0.15874035989717222,0.0,0.047622107969151665
17398_700,347,,700,488,,,0.0,0.0,0.0,0.0,0.0,347,,0.0,0.15681233933161953,0.0,0.04704370179948586
5635_900,96,,900,484,,,0.0,0.0,0.0,0.0,0.0,96,,0.0,0.15552699228791775,0.0,0.04665809768637532
17418_900,61,,900,484,,,0.0,0.0,0.0,0.0,0.0,61,,0.0,0.15552699228791775,0.0,0.04665809768637532
17331_700,166,,700,484,,,0.0,0.0,0.0,0.0,0.0,166,,0.0,0.15552699228791775,0.0,0.04665809768637532
12003_109,S85,,109,479,,,0.0,0.0,0.0,0.0,0.0,S85,,0.0,0.1539203084832905,0.0,0.04617609254498715
17413_700,396,,700,470,,,0.0,0.0,0.0,0.0,0.0,396,,0.0,0.15102827763496143,0.0,0.04530848329048843
17536_700,X69,,700,464,,,0.0,0.0,0.0,0.0,0.0,X69,,0.0,0.14910025706940874,0.0,0.04473007712082262
1547_700,693,,700,455,,,0.0,0.0,0.0,0.0,0.0,693,,0.0,0.14620822622107968,0.0,0.043862467866323904
4223_700,868,,700,453,,,0.0,0.0,0.0,0.0,0.0,868,,0.0,0.1455655526992288,0.0,0.04366966580976864
17325_700,160,,700,450,,,0.0,0.0,0.0,0.0,0.0,160,,0.0,0.14460154241645246,0.0,0.04338046272493574
327_700,B/522,,700,447,,,0.0,0.0,0.0,0.0,0.0,B/522,,0.0,0.14363753213367608,0.0,0.043091259640102825
10142_109,S1,,109,439,,,0.0,0.0,0.0,0.0,0.0,S1,,0.0,0.14106683804627249,0.0,0.042320051413881746
1558_900,94,,900,436,,,0.0,0.0,0.0,0.0,0.0,94,,0.0,0.14010282776349614,0.0,0.04203084832904884
17393_700,327,,700,422,,,0.0,0.0,0.0,0.0,0.0,327,,0.0,0.13560411311053985,0.0,0.040681233933161955
17402_700,363,,700,418,,,0.0,0.0,0.0,0.0,0.0,363,,0.0,0.13431876606683804,0.0,0.04029562982005141
17395_700,337,,700,414,,,0.0,0.0,0.0,0.0,0.0,337,,0.0,0.13303341902313626,0.0,0.039910025706940876
1871_700,981,,700,414,,,0.0,0.0,0.0,0.0,0.0,981,,0.0,0.13303341902313626,0.0,0.039910025706940876
22804_700,263,,700,411,,,0.0,0.0,0.0,0.0,0.0,263,,0.0,0.13206940874035988,0.0,0.03962082262210796
17516_400,U4,,400,410,,,0.0,0.0,0.0,0.0,0.0,U4,,0.0,0.13174807197943444,0.0,0.03952442159383033
10231_700,S2,,700,407,,,0.0,0.0,0.0,0.0,0.0,S2,,0.0,0.1307840616966581,0.0,0.03923521850899743
343_900,6,,900,404,,,0.0,0.0,0.0,0.0,0.0,6,,0.0,0.12982005141388175,0.0,0.03894601542416452
11387_700,S75,,700,403,,,0.0,0.0,0.0,0.0,0.0,S75,,0.0,0.1294987146529563,0.0,0.03884961439588688
340_900,1,,900,391,,,0.0,0.0,0.0,0.0,0.0,1,,0.0,0.1256426735218509,0.0,0.03769280205655527
4242_700,893,,700,390,,,0.0,0.0,0.0,0.0,0.0,893,,0.0,0.12532133676092544,0.0,0.03759640102827763
12891_900,4,,900,382,,,0.0,0.0,0.0,0.0,0.0,4,,0.0,0.12275064267352186,0.0,0.03682519280205655
22609_700,744,,700,378,,,0.0,0.0,0.0,0.0,0.0,744,,0.0,0.12146529562982006,0.0,0.03643958868894601
1546_700,692,,700,378,,,0.0,0.0,0.0,0.0,0.0,692,,0.0,0.12146529562982006,0.0,0.03643958868894601
27569_700,215,,700,375,,,0.0,0.0,0.0,0.0,0.0,215,,0.0,0.1205012853470437,0.0,0.03615038560411311
17412_700,395,,700,369,,,0.0,0.0,0.0,0.0,0.0,395,,0.0,0.11857326478149101,0.0,0.0355719794344473
17383_700,294,,700,366,,,0.0,0.0,0.0,0.0,0.0,294,,0.0,0.11760925449871465,0.0,0.035282776349614395
17298_700,114,,700,363,,,0.0,0.0,0.0,0.0,0.0,114,,0.0,0.1166452442159383,0.0,0.03499357326478149
24045_100,RE2,,100,363,,,0.0,0.0,0.0,0.0,0.0,RE2,,0.0,0.1166452442159383,0.0,0.03499357326478149
10228_109,S42,,109,362,,,0.0,0.0,0.0,0.0,0.0,S42,,0.0,0.11632390745501285,0.0,0.034897172236503855
10225_109,S41,,109,360,,,0.0,0.0,0.0,0.0,0.0,S41,,0.0,0.11568123393316196,0.0,0.03470437017994859
10227_109,S42,,109,360,,,0.0,0.0,0.0,0.0,0.0,S42,,0.0,0.11568123393316196,0.0,0.03470437017994859
10224_109,S41,,109,359,,,0.0,0.0,0.0,0.0,0.0,S41,,0.0,0.1153598971722365,0.0,0.03460796915167095
5249_700,824,,700,348,,,0.0,0.0,0.0,0.0,0.0,824,,0.0,0.11182519280205655,0.0,0.033547557840616964
14383_700,S42,,700,347,,,0.0,0.0,0.0,0.0,0.0,S42,,0.0,0.11150385604113111,0.0,0.03345115681233933
